algorithm,master,dataset,time elapsed (ms)
aprioriseq,yarn_w4_c4,dataset_2.csv,29952
apriorispc,yarn_w4_c4,dataset_2.csv,5448
apriorimapreduce,yarn_w4_c4,dataset_2.csv,6355
fpgrowth,yarn_w4_c4,dataset_2.csv,3162
