algorithm,master,dataset,time elapsed (ms)
aprioriseq,yarn_w2_c1,dataset_4.csv,96524
apriorispc,yarn_w2_c1,dataset_4.csv,13094
apriorimapreduce,yarn_w2_c1,dataset_4.csv,18567
fpgrowth,yarn_w2_c1,dataset_4.csv,7592
