algorithm,master,dataset,time elapsed (ms)
aprioriseq,yarn_w2_c2,dataset_1.csv,17678
apriorispc,yarn_w2_c2,dataset_1.csv,4961
apriorimapreduce,yarn_w2_c2,dataset_1.csv,5536
fpgrowth,yarn_w2_c2,dataset_1.csv,4544
