algorithm,master,dataset,time elapsed (ms)
aprioriseq,yarn_w4_c4,dataset_4.csv,79491
apriorispc,yarn_w4_c4,dataset_4.csv,8317
apriorimapreduce,yarn_w4_c4,dataset_4.csv,10866
fpgrowth,yarn_w4_c4,dataset_4.csv,4224
