latitude,longitude,depth,mag,year
19.3295,-155.1176667,6.55,2.6,2020
58.269,-155.9152,142.0,2.5,2020
19.331,-155.1216667,7.23,3.01,2020
35.0459,27.8333,10.0,4.2,2020
17.9061,-66.9385,6.0,2.98,2020
35.1067,27.793,10.0,4.3,2020
18.8823,-67.5891,8.0,2.77,2020
18.9935,-67.8051,15.0,3.32,2020
35.1817,27.7814,10.0,5.7,2020
-14.9201,167.8262,10.0,4.4,2020
66.452,-143.3606,8.3,2.8,2020
17.8631,-66.8801,12.0,2.96,2020
59.9197,-152.6505,84.6,2.5,2020
17.9683,-66.7878,9.0,3.13,2020
17.9176,-66.8856,9.0,3.19,2020
17.9073,-66.7416,7.0,2.73,2020
17.9345,-66.9865,5.0,2.67,2020
17.9618,-66.7756,7.0,2.52,2020
17.9691,-66.8691,14.0,2.67,2020
19.0862,-80.8912,10.0,4.0,2020
17.8941,-66.867,8.0,3.2,2020
38.9966,94.7497,10.0,4.6,2020
17.8743,-66.8331,9.0,2.71,2020
16.7697,-99.9292,10.0,4.3,2020
16.6629,-100.1306,10.0,4.0,2020
35.0556667,-118.3195,1.93,2.84,2020
18.7885,-64.5858,29.0,3.47,2020
16.9407,-99.9791,13.59,5.2,2020
6.7813,-72.9965,162.56,4.6,2020
18.9975,-67.85,11.0,3.21,2020
6.5826,126.5217,73.63,4.4,2020
51.0486,-179.8363,22.34,4.4,2020
19.1081,-67.966,8.0,3.53,2020
-17.7854,-178.6116,571.61,4.2,2020
35.1818,27.8909,10.0,4.2,2020
17.935,-66.9213,11.0,2.92,2020
17.9168,-67.0093,4.0,3.07,2020
35.191,27.9073,10.0,4.0,2020
17.9441,-66.9418,5.0,2.68,2020
17.9201,-66.8791,10.0,3.97,2020
17.9561,-66.7396,11.0,2.93,2020
-11.3532,118.5747,10.0,4.2,2020
51.8351,-177.6842,10.0,3.1,2020
36.6417,69.574,275.89,4.2,2020
18.0666,-66.8228,17.0,2.84,2020
17.9365,-66.92,11.0,2.71,2020
-11.5219,118.4161,10.0,4.2,2020
44.0484,147.5018,72.84,4.4,2020
35.1458,27.8913,10.0,4.1,2020
17.947,-66.7646,7.0,2.58,2020
17.9856,-66.7415,13.0,2.68,2020
18.9901,-67.8031,31.0,3.36,2020
57.2162,-156.9263,9.8,3.6,2020
35.1705,27.8858,10.0,4.2,2020
18.902,-67.7506,10.0,3.11,2020
35.3863,27.8301,10.0,4.3,2020
20.4647,121.887,10.0,4.2,2020
35.1565,27.8845,10.0,5.5,2020
1.4836,126.445,35.0,4.5,2020
35.1499,27.9599,10.0,4.0,2020
57.0215,-157.8709,8.4,2.8,2020
17.9358,-66.8421,14.0,3.04,2020
17.966,-66.7993,15.0,2.57,2020
31.1188,-103.2393,2.57,2.8,2020
0.7136,126.3292,27.01,5.8,2020
-20.9249,-178.8438,599.31,4.4,2020
17.8455,-66.8695,7.0,2.7,2020
38.3889,-96.9189,5.0,3.1,2020
16.9133,-100.0341,10.0,4.8,2020
17.957,-66.9201,9.0,3.14,2020
17.9528,-66.8133,14.0,2.65,2020
19.3361667,-154.9816667,5.55,3.81,2020
7.1328,92.0445,10.0,4.6,2020
54.4854,-161.4929,21.76,2.7,2020
17.9145,-66.9218,9.0,3.2,2020
51.3142,178.3884,17.3,3.2,2020
28.7675,91.7966,10.0,4.5,2020
19.072,-67.5489,10.0,2.7,2020
17.8543,-66.8825,12.0,3.02,2020
17.9668,-66.8673,14.0,2.59,2020
17.9136,-66.8398,12.0,2.68,2020
18.8238,-81.1987,10.0,4.0,2020
-14.8226,167.4296,143.83,4.3,2020
-30.2537,-72.0379,12.69,4.8,2020
19.4512,-67.4189,10.0,2.8,2020
17.9066,-66.852,15.0,2.63,2020
28.4675,104.9742,10.0,4.3,2020
19.1153,-67.8613,10.0,3.26,2020
35.1854,27.8589,10.0,4.2,2020
19.6101665,-155.3146667,1.75,2.91,2020
17.8068,-66.8825,9.0,2.54,2020
17.8565,-66.8676,7.0,2.56,2020
31.8003333,-116.2226667,18.04,3.4,2020
37.1334,44.9028,10.0,4.9,2020
-24.1475,-67.1954,144.9,4.1,2020
34.0,-116.4466667,9.58,2.55,2020
-23.3357,-66.7714,241.43,4.1,2020
19.0058,-67.7088,29.0,2.97,2020
17.8966,-66.8375,9.0,2.65,2020
17.8419,-66.8185,10.0,2.7,2020
36.6882,127.9929,10.0,3.5,2020
53.9466,-165.6116,69.01,3.2,2020
19.1529,-67.5203,10.0,2.7,2020
-3.4042,145.6494,10.0,4.8,2020
10.3105,93.7827,10.0,5.0,2020
47.5524,-113.92,27.04,2.7,2020
18.9655,-80.7131,10.0,4.0,2020
19.2726,-67.683,10.0,3.1,2020
19.3791,-78.6607,10.0,4.9,2020
18.9538,-67.6276,7.0,4.6,2020
19.1173,-67.8273,30.0,3.28,2020
-29.4086,-178.5039,212.72,4.6,2020
19.2214,-79.7733,10.0,4.1,2020
-10.418,161.2756,85.0,6.0,2020
24.4383,94.9928,115.32,4.3,2020
35.1747,27.891,10.0,4.8,2020
18.7908,-67.6576,10.0,2.78,2020
18.8503,-67.5903,10.0,2.91,2020
35.4358333,-119.0083333,17.99,3.19,2020
18.8801,-67.6406,10.0,3.24,2020
19.1616,-67.5211,10.0,2.5,2020
39.2676667,-123.222,6.4,3.47,2020
36.5504,70.8987,173.47,4.2,2020
18.1738,-68.523,84.0,3.11,2020
17.9245,-66.9735,13.0,3.13,2020
17.9811,-66.8321,15.0,2.67,2020
17.94,-66.9725,12.0,3.06,2020
56.2028,-149.2426,10.0,3.4,2020
54.1066,-164.7021,79.77,2.7,2020
18.8365,-67.5945,10.0,3.01,2020
35.6069,140.9488,49.32,4.4,2020
18.0171,-66.794,15.0,3.23,2020
39.8673,77.1283,10.0,4.3,2020
32.6358333,-115.7496667,11.34,2.8,2020
17.9008,-66.9415,6.0,3.2,2020
51.0249,-179.8466,16.62,3.9,2020
17.748,-66.8951,3.0,3.24,2020
0.5049,91.8613,10.0,4.7,2020
-18.2929,-69.4286,142.43,4.2,2020
-39.3431,-72.3203,92.42,4.1,2020
56.5254,-148.7129,10.0,3.1,2020
38.7827,70.578,10.0,4.9,2020
17.8375,-66.8243,3.0,2.9,2020
31.6583,-104.3209,5.0,2.9,2020
17.964,-66.7438,12.0,2.65,2020
-10.1459,160.8229,10.0,4.4,2020
52.3974,-169.0443,35.0,4.0,2020
50.9661,-179.7783,10.07,3.2,2020
-7.0215,129.4412,154.72,4.3,2020
52.4194,-168.9633,35.0,3.0,2020
-15.1487,-174.8662,262.26,4.2,2020
-5.0559,152.011,67.13,5.0,2020
14.4057,-89.9472,247.91,4.1,2020
