algorithm,master,dataset,time elapsed (ms)
aprioriseq,yarn_w4_c4,dataset_3.csv,49407
apriorispc,yarn_w4_c4,dataset_3.csv,7941
apriorimapreduce,yarn_w4_c4,dataset_3.csv,7940
fpgrowth,yarn_w4_c4,dataset_3.csv,3231
