algorithm,master,dataset,time elapsed (ms)
aprioriseq,yarn,dataset_2.csv,30414
apriorispc,yarn,dataset_2.csv,9513
apriorimapreduce,yarn,dataset_2.csv,9371
fpgrowth,yarn,dataset_2.csv,4971
